HHIDPN,RAGENDER,RARACEM,RAEDYRS,RAEVBRN
12629040.0,1.0,1.0,10.0,0.0
12648010.0,2.0,1.0,12.0,5.0
12648040.0,1.0,1.0,12.0,0.0
12651010.0,2.0,1.0,13.0,4.0
12653010.0,2.0,1.0,14.0,2.0
12653040.0,1.0,1.0,12.0,3.0
12666010.0,2.0,2.0,12.0,2.0
12667010.0,1.0,2.0,14.0,3.0
12671010.0,2.0,2.0,17.0,6.0
12682010.0,2.0,2.0,12.0,3.0
12682011.0,1.0,2.0,14.0,2.0
12690010.0,1.0,1.0,16.0,0.0
12695020.0,1.0,2.0,16.0,4.0
12695030.0,2.0,2.0,17.0,2.0
12706010.0,2.0,2.0,12.0,0.0
12709010.0,1.0,,0.0,
12709020.0,2.0,2.0,10.0,5.0
12715020.0,1.0,2.0,16.0,3.0
12715030.0,2.0,2.0,16.0,2.0
12736010.0,2.0,1.0,6.0,5.0
12738010.0,1.0,3.0,6.0,7.0
12738020.0,2.0,3.0,3.0,7.0
12743010.0,1.0,3.0,15.0,0.0
12744010.0,1.0,3.0,16.0,2.0
12744011.0,2.0,3.0,17.0,4.0
12744020.0,2.0,1.0,12.0,2.0
12745010.0,1.0,1.0,17.0,4.0
12745020.0,2.0,1.0,16.0,4.0
12756010.0,2.0,1.0,14.0,0.0
12756011.0,1.0,1.0,17.0,2.0
12757010.0,1.0,1.0,17.0,
12761010.0,1.0,1.0,12.0,2.0
12761040.0,2.0,1.0,12.0,2.0
12762010.0,2.0,1.0,12.0,3.0
12762020.0,1.0,1.0,8.0,3.0
12765010.0,1.0,2.0,8.0,0.0
12765020.0,2.0,2.0,12.0,3.0
12786010.0,1.0,1.0,17.0,0.0
12792010.0,2.0,1.0,14.0,0.0
12799020.0,1.0,1.0,10.0,3.0
12799030.0,2.0,1.0,13.0,1.0
12804010.0,2.0,1.0,12.0,2.0
12821010.0,2.0,1.0,17.0,0.0
12830010.0,2.0,2.0,12.0,3.0
12852020.0,1.0,2.0,15.0,4.0
12852021.0,2.0,2.0,13.0,2.0
12852030.0,2.0,2.0,13.0,2.0
12854010.0,2.0,2.0,9.0,3.0
12864020.0,2.0,1.0,11.0,3.0
12864030.0,1.0,1.0,12.0,
12887010.0,2.0,2.0,12.0,8.0
12887011.0,1.0,2.0,11.0,8.0
12909020.0,2.0,3.0,16.0,0.0
12909030.0,1.0,1.0,17.0,
12920010.0,2.0,1.0,9.0,0.0
12922010.0,1.0,2.0,12.0,
12922040.0,2.0,1.0,12.0,1.0
12948010.0,2.0,2.0,11.0,4.0
12964010.0,1.0,2.0,12.0,0.0
12964040.0,2.0,2.0,17.0,0.0
12967010.0,2.0,2.0,16.0,5.0
12971020.0,1.0,2.0,6.0,6.0
12971030.0,2.0,2.0,13.0,3.0
12974010.0,2.0,2.0,13.0,3.0
12974020.0,1.0,2.0,14.0,3.0
12974021.0,2.0,2.0,12.0,1.0
12979010.0,1.0,2.0,12.0,1.0
12979020.0,2.0,2.0,12.0,4.0
12981020.0,2.0,1.0,14.0,1.0
12981030.0,1.0,1.0,12.0,1.0
12981031.0,2.0,1.0,12.0,1.0
12985010.0,1.0,2.0,14.0,8.0
12985040.0,2.0,2.0,14.0,3.0
12987010.0,2.0,2.0,9.0,8.0
12987020.0,1.0,3.0,6.0,5.0
13008010.0,1.0,3.0,12.0,2.0
13008040.0,2.0,3.0,16.0,2.0
13054010.0,1.0,1.0,12.0,0.0
13054040.0,2.0,1.0,16.0,0.0
13062010.0,2.0,2.0,12.0,6.0
13062020.0,1.0,2.0,13.0,4.0
13063010.0,2.0,2.0,17.0,5.0
13085010.0,1.0,1.0,8.0,2.0
13085020.0,2.0,1.0,12.0,2.0
13089010.0,2.0,1.0,6.0,5.0
13089020.0,1.0,1.0,10.0,2.0
13137010.0,2.0,1.0,13.0,3.0
13137020.0,1.0,1.0,7.0,3.0
13137021.0,2.0,1.0,10.0,3.0
13140010.0,2.0,1.0,12.0,3.0
13140040.0,1.0,1.0,7.0,3.0
13142010.0,2.0,1.0,12.0,3.0
13142020.0,1.0,1.0,10.0,2.0
13158010.0,1.0,2.0,14.0,2.0
13176010.0,1.0,1.0,17.0,3.0
13176020.0,2.0,1.0,14.0,3.0
13189020.0,1.0,1.0,0.0,0.0
13189030.0,2.0,1.0,16.0,2.0
13193010.0,1.0,3.0,11.0,
13193040.0,2.0,3.0,,3.0
13194010.0,2.0,2.0,14.0,1.0
13194011.0,1.0,2.0,12.0,6.0
13208010.0,2.0,2.0,13.0,3.0
13208040.0,1.0,2.0,13.0,4.0
13211010.0,1.0,2.0,12.0,4.0
